
Fr 2. Mai 23:16:50 SAMT 2014
===============================================
POS	Total	Clean	With @	With #	Clean %
vblex	2754501	710870	0	2043631	25.81
n	519449	458835	0	60614	88.34
adv	410444	333001	0	77443	81.14
adj	337136	660	0	336476	0.2
num	262645	262645	0	0	100
vaux	63063	945	0	62118	1.5
prn	59038	49408	0	9630	83.69
cnjcoo	50231	34870	0	15361	69.42
pr	29683	29683	0	0	100
ij	754	693	0	61	91.91
det	4	4	0	0	100
np	0	0	0	0	100
guio	0	0	0	0	100
cnjsub	0	0	0	0	100
cm	0	0	0	0	100
===============================================
