
Thu Aug  7 02:50:00 MSK 2014
===============================================
POS	Total	Clean	With @	With #	Clean %
cop	202014	201816	0	198	99.90
num	130675	130674	1	0	100
adv	62466	62405	0	61	99.90
v	42033	40241	0	1792	95.73
adj	29157	29157	0	0	100
n	25411	25407	0	4	99.98
cnjcoo	14766	14740	0	26	99.82
det	2709	1188	0	1521	43.86
prn	883	703	0	180	79.62
post	774	558	0	216	72.1
ij	24	24	0	0	100
vaux	0	0	0	0	100
np	0	0	0	0	100
guio	0	0	0	0	100
cnjsub	0	0	0	0	100
cm	0	0	0	0	100
===============================================
